sent,rank,rank_a,cluster,type,num
I like the fact that I have very good physical endurance.,1,1,1,l,1
I don't like the fact that I am getting old.,44,28,28,d,1
My ability to concentrate and focus for prolonged periods of time are judged unique by people who know me.,0,0,0,u,1
I like that I am confident and positive,62,75,75,l,2
I don't like how I am sometimes ungrateful for my blessings,86,120,120,d,2
I like the fact I'm healthy.,60,39,39,l,3
That I'm limited by my size.,14,51,51,d,3
I have a great sense of humor and people tell me I am funny.,2,4,4,l,4
"I have eyes that are almost yellow, a very different shade of green.",34,98,98,u,4
I think that I  have a great kind personality,2,4,4,l,5
How I take my responsibilities serious.,102,283,283,l,6
That I can be pretty creative around food,0,2,2,l,7
my stomach. I think it looks fat even though others disagree,16,57,57,d,7
There is nobody else on earth that's exactly the same like me.,64,101,101,u,8
I like that I am smart and funny.,7,13,13,l,10
my laugh is very unique.,0,0,0,u,10
I don't get to spend enought time with my kids due to work.,88,235,235,d,12
I pick up new technologies quickly,9,7,7,l,13
I enjoy building things in my free time,76,168,168,u,13
I don't like that I drink too much beer,79,212,212,d,14
"Kind, good listener, and friend.",1,1,1,l,15
I am so creative and visionary.,0,2,2,l,17
I am not very physically attractive.,5,22,22,d,17
I march to the beat of my own drum.,25,20,20,u,17
I am extremely honest about my strengths and weaknesses.,11,19,19,l,18
I can be very honest without making the person I'm talking to feel bad.,24,19,19,u,18
I am great at baking science and making things,14,4,4,u,19
I am smart and an athlete,58,232,232,u,20
I am unique because I am a good creative writer.,0,0,0,u,21
I like that I am a very good cook.,1,1,1,l,22
I really like my beautiful eyes.,87,241,241,l,23
My willingness to be submissive to my man is unique.,43,118,118,u,23
I like that I am kind to others and I smile at strangers.,14,44,44,l,24
I can get surly when I am tired.,45,139,139,d,24
"I sing very well, from the heart, and my voice is unique--as each of us has a unique voice.",0,0,0,u,24
I don't like my attitude when things go wrong.,103,274,274,d,25
I have a very positive outlook on life.,12,12,12,l,26
Sometimes I will be in a bad mood for no reason.,6,23,23,d,26
I have a very goofy sense of humor.,22,61,61,u,26
I don't like the fact that I am a worrier.,43,133,133,d,27
I am very curious and ecelectic in my tastes.,66,64,64,u,27
I am very open and caring toward other people.,22,71,71,l,28
I am overly critical of myself and very sensitive.,2,18,18,d,28
I have a very unusual sense of humor.,94,207,207,u,28
I am a nice person.,4,9,9,l,29
I am a very impatient person.,13,49,49,d,29
I can be very indecisive.,56,161,161,d,30
I have traveled more than many people.,7,11,11,u,30
i tend to get mad alot,27,85,85,d,31
Something that makes me unique is my athletic ability.,17,25,25,u,32
I have a really quirky sense of humor.,102,215,215,u,34
I am an unique individual.,41,0,0,l,35
I am an extremely motivated individual,48,37,37,l,36
I tend to have negative self-image issues,22,73,73,d,36
I am very loyal to the company I work for.,16,31,31,l,37
"I am able to find the best deals or deals never thought of online for restaurants, travel, merchandise, and others.",4,6,6,u,37
"I am proud to be a mother, wife and wife pursuing my future career.",105,278,278,l,38
My positive outlook and life experiences make me unique.,8,12,12,u,38
I don't like that I am impatient and lazy.,13,49,49,d,39
My life experiences make me unique -- living a different life than the one for which i was raised.,0,0,0,u,39
"I like that I have an optimistic outlook, even when things don't seem like they are going to go my way.",25,82,82,l,40
I don't think it is any one thing that makes me unique but instead all of the characteristics combined that create my uniqueness.,97,210,210,u,40
I have really nice and friendly brown eyes.,4,9,9,l,41
"I like my empathy, especially when it can affect other's positively.",20,67,67,l,42
I was brave enough to give up an ambitious jobs for a life that actually made me happy.,59,136,136,u,42
I am generally hard-working and try to finish every task I start.,55,279,279,l,43
I sometimes get overly critical of people instead of giving them the benefit of the doubt.,2,18,18,d,43
I am the only Jewish member of my Asian-American family.,6,27,27,u,43
I am capable of understanding people's inner motives and feelings without them needing to be said.,71,72,72,l,44
I am critical of the people that I love the most.,2,18,18,d,44
I have the ability to find something in common with a wide variety of people.,54,131,131,u,44
I like that I'm an attractive guy.,18,22,22,l,45
I am a musician that has toured across America.,78,220,220,l,46
I can be very lazy at the begining of the day.,1,10,10,d,46
I have been able to stay sober for over four months without AA.,4,6,6,u,46
I like that I am a good listener.,1,1,1,l,47
I don't like that I am so shy.,0,8,8,d,47
My range of facial expressions makes me unique.,48,58,58,u,47
I like that I am creative,0,2,2,l,48
"I am good at games, any game.",1,1,1,u,48
I have a large scar on my left wrist from when I fell while trying to climb a fence.,21,34,34,u,49
I am smart and able to fix most things.,8,6,6,l,50
I am able to be kind and help someone in need.,8,6,6,l,51
I am a little selfish at times.,95,113,113,d,51
My personality is the most unique thing about me.,0,0,0,u,51
I am unique because I enjoy writing in my journal at night before I go to bed.,0,0,0,u,52
I can be quite mean.,7,36,36,d,53
I like that I have a huge heart.,15,46,46,l,54
I am good at plastic canvas.,1,1,1,u,54
I think I am funny and have a good sense of humor.,7,13,13,l,55
I sometimes suffer from low self-esteem.,24,76,76,d,55
I enjoy a wide variety of different hobbies and activities.,23,43,43,u,55
That I don't complete tasks that are difficult,98,62,62,d,56
I do not anger very easily,116,253,253,u,56
I like my brow hair and my green eyes.,30,50,50,l,59
I am a skilled and creative knitter.,66,192,192,l,60
I am prone to depression and obsessional thinking.,81,217,217,d,60
I have lived in four different countries.,2,14,14,u,60
I am a moderately successful freelance artist.,24,78,78,l,61
I am often unhappy for very minor reasons.,35,110,110,d,61
I am a female that is awesome at welding/metal work/carpentry.,15,40,40,u,61
I love that I am very strong,10,15,15,l,62
I always am in a good mood.,1,1,1,l,63
I love technology as much as I love nature.,100,41,41,u,63
I like my spontaneous Creative nature.,85,80,80,l,64
"My life experience makes me wise - I know that sounds egotistical, but I have lived a full, full life.",128,276,276,u,65
I like that I have a strong faith in Jesus Christ.,10,15,15,l,66
I am loyal and honest to a fault.,133,31,31,u,66
My odd sense of humor always amuses at least me.,68,74,74,l,67
"My introverted nature makes me have to ""recharge my batteries"" after social interaction.",3,24,24,d,67
I can perform a one-handed clap.,111,238,238,u,67
I like the fact that I am artistic.,106,93,93,l,68
I don't like the fact that I am overweight and single.,11,47,47,d,68
The fact that I am able to connect with anyone I meet almost instantly makes me unique.,4,6,6,u,68
I like my willingness to make someone elses day better than my own.,21,20,20,l,69
I do not like that I can be judgmental towards others.,108,280,280,d,69
"I have only one dimple, and my laugh is silent.",95,209,209,u,69
"I make huge efforts to communicate with people, and help them communicate.",15,46,46,l,70
"I can be stubborn, and occasionally lazy.",1,10,10,d,70
I have been told I have wonderful breasts.,74,254,254,l,71
My husband likes to watch me have sex with other men.,5,5,5,u,71
"I like that I am a kind, loyal person.",16,31,31,l,72
I don't like that I often get jealous and anxious.,12,48,48,d,72
I have a good sense of humor.,1,1,1,l,73
I get frustrated easily when I have too many things to do.,9,11,11,d,73
"I enjoy learning new things, and I am not picky about what the topic is.",11,7,7,u,73
Being Scottish and living in PA,55,132,132,u,74
I don't like that I am overweight.,11,47,47,d,75
I was in a maile dominated field and went to war as a civilian Army employee.,44,260,260,u,75
I like that I have the potential to be creative,0,2,2,l,76
I really don't think I'm unique in any way,0,0,0,u,76
I really like the fact that I am a hard worker and have a faster pace than others.,3,3,3,l,77
I really don't like the fact that I am not productive with my time always. Especially knowing how fast I can complete things.,96,257,257,d,77
I like that I am dependable and easygoing.,75,213,213,l,78
I don't like that I am lazy and introverted.,1,10,10,d,78
I like to be alone most of the time.,9,17,17,u,78
I have a great smile.,2,4,4,l,79
My  positive attituide makes me unique.,8,12,12,u,79
The thing I like most about myself is my hair.,28,17,17,l,80
The thing I like least about myself is my stomach.,77,74,74,d,80
I am unique because I am missing my smallest toe on my left foot.,0,0,0,u,80
I don't like that I am overweight.,11,47,47,d,81
I like that I put my friends in front of my own needs and always try to help them.,40,59,59,l,82
I am unique because I always try to put a smile on my face.,0,0,0,u,82
I'm a very honest person.,11,19,19,l,83
My left hand's pinky is larger than my right hands pinky.,108,224,224,u,84
overeactive,48,144,144,d,85
I'm a left handed female.,15,40,40,u,86
I am fun to be with.,84,237,237,l,87
I am able to learn information independently without the guidance of a teacher.,8,6,6,l,88
I am often anxious in social situations.,17,66,66,d,88
I am the only female in my physics class.,6,27,27,u,88
I am very shy when it comes to new people,0,8,8,d,89
I am very tall for a girl,31,86,86,u,89
what makes me unique is that i act very goofy at times.,22,61,61,u,90
I like how persistent I am.,29,81,81,l,92
"I am an exotic mix of asian,pacific islander,and white races.",87,186,186,u,92
I sometimes can be too shy and not confident.,0,8,8,d,93
I would like to be more relaxed about things but have better organisation.,10,45,45,d,94
I am not very picky or decisive.,30,90,90,u,94
I like my level of physical fitness.,26,83,83,l,95
I don't like that I am very emotional.,26,79,79,d,95
I have a very unique name.,0,0,0,u,95
"I think I'm fairly creative, thoughtful, and have a wide variety of interests.",0,2,2,l,96
"I'm very conservative, and don't take too many risks.",51,103,103,d,96
I have become much more independent.,98,267,267,l,97
I have a very quick temper.,25,35,35,d,97
I dont play games with people. I say what I mean.,125,268,268,u,97
I do not like my depressive illness.,49,147,147,d,98
I am very loyal,16,31,31,l,99
I am a jealous person,12,48,48,d,99
I tend to blurt out random thoughts that people find odd but interesting.,68,148,148,u,99
My smile makes other people happy. I don't have to try hard.,5,5,5,l,100
I give up if things aren't going my way or getting too tough.,66,189,189,d,100
Everyone is unique; I am unique because of my personal style and work experience.,0,0,0,u,100
i am a huge class clown,15,46,46,l,101
my personality is different than most,2,14,14,u,101
I have really nice blue eyes.,4,9,9,l,102
I dont like the fact that i am very critical of myself.,2,18,18,d,103
My overall view on life is very unique.,46,56,56,u,103
I am great at giving good advice to others.,14,4,4,u,104
I like the fact that I am a curious person interested in a lot of different things.,50,64,64,l,105
I don't like that I feel helpless in alleviating the stressors my loved ones experience.,94,256,256,d,105
I am extraordinarily empathetic with others.,93,204,204,u,105
I love that I am kind,14,44,44,l,106
I dont like that i can be mean,7,36,36,d,106
I think I am unique because i am strong,0,0,0,u,106
I like that I am intelligent and caring.,6,16,16,l,107
I do not like that I am a perfectionist and unable to make my own decisions.,19,53,53,d,107
I am unique because I love salsa dancing.,0,0,0,u,107
My will to get better at stuff. Such as sports and music.,13,21,21,l,108
"That is up to somebody else to explain, I've been told I am a great musician.",14,4,4,u,108
I am brave and always willing to try something new,57,169,169,l,109
I am impulsive and sometimes too quick to try something new,100,272,272,d,109
I am the type of person that seems outgoing but is actually shy sometimes.,52,8,8,u,109
"I like that i don't care what other think about my decision, I tend to do whatever I want without felling bad when people judge me.",5,5,5,l,110
I tend to be anti-social and find it hard to make friends.,31,96,96,d,110
I am unique because I am a natural medium between people and know how to stay out of other people's arguments.,0,0,0,u,110
I think I am too shy.,0,8,8,d,111
I am a strong person but not emotionally closed off.,13,15,15,u,111
I am unique because I was able to survive a condition that normally leads to death.,0,0,0,u,112
I like that I strive to be one of the best of what I do.,51,65,65,l,113
What I don't like about myself that I like to be lazy and relax all the time.,1,10,10,d,113
"I like my smile, and that whenever I smile it makes other people smile too.",5,5,5,l,114
"I hate that no matter how hard I try, I cannot stop myself from being horribly stubborn!",4,3,3,d,114
"I have a weird bladder disease called intercystial cystitis, and I don't know anyone else with this condition.",84,184,184,u,114
I am a loving mother who puts her kids' interests at the top of the list.,72,69,69,l,115
I can cross just my right eye while the left looks straight ahead,109,134,134,u,115
I am an adventurous spirit.,19,60,60,l,116
I can be awkward in foreign social situations.,64,255,255,d,116
I am very passionate about a few things,46,261,261,l,117
I get upset and angry very easily,107,92,92,d,117
I enjoy Chinese culture and learning new things,81,177,177,u,117
I do not like my current weight.,52,155,155,d,118
I like how strong,10,15,15,l,119
I've been married to the same woman for nearly 10 years.,96,84,84,l,120
"Not to give too much personal information...my home town is owned by my Alma Mater.  http://en.wikipedia.org/wiki/Playas,_New_Mexico",19,54,54,u,120
I have a very sharp sense of humor.,92,252,252,l,121
I lack willpower when it comes to getting  in shape.,50,154,154,d,121
"I have a vast mental encyclopedia of random trivia, so I'm awesome at trivia games.",51,126,126,u,121
I don't like the fact that I cannot get along with many people.,9,11,11,d,122
"Everything about me is unique because there is no other ""me"".",0,0,0,u,122
I am good with computers,1,1,1,l,123
I am bad with money sometimes,6,23,23,d,123
"I like to rock climb in the rain. I guess that would be better if the question was ""what makes you stupid"", But it's all I can think of.",38,21,21,u,123
I like how creative I am and how it helps me adapt to change.,0,2,2,l,125
I don't like my emotional dependence on food.,26,79,79,d,125
I am unique because I am 28 years old and still like to tell myself stories to go to sleep.,0,0,0,u,125
I clean up nice.,4,9,9,l,126
I am not spontaneous.,90,80,80,d,126
I am white but I speak Spanish,27,77,77,u,126
My body won't regenerate muscle and I keep losing it.,109,285,285,d,127
I know I've had a combination of  experiences like no other.,5,5,5,u,127
I like my desire and ability to constantly learn new things.,9,7,7,l,128
"I have unique taste in things like movies, games, and music, and am very creative.",0,0,0,u,128
I like my adventurous tendencies.,19,60,60,l,129
I don't like my social anxiety.,3,24,24,d,129
"I like that I am a mother, and am able to fill my calling in life to be a source of nurturing, growth, support, and love to my growing family.",8,6,6,l,130
I dislike that I often lack motivation to complete things and goals that are important to me.,104,275,275,d,130
"I am a very calm, tranquil, and kind person, and at the risk of sounding full of myself, people seem to comment on it and enjoy that aspect of my personality.",12,38,38,u,130
I don't like how unassertive I am.,42,140,140,d,132
My hair goes down to mid-thigh.,40,114,114,u,132
"diligent, persistent, grit-minded, open minded, tactical",29,81,81,l,133
"artistic, short, creative, athletic, talented, strong minded",135,93,93,u,133
I don't like it that I'm not handy with fixing things.,40,111,111,d,134
Something that makes me unique is that I like playing old time music on the piano and have a HUGE collection of old sheet music.,10,28,28,u,134
"I have a lot of different hobbies that don't usually connect, like metal detecting and robotics",2,14,14,u,136
I don't like that I am impatient,13,49,49,d,137
I am a very creative person,3,2,2,u,137
"I can find the humour in any situation, no matter how terrible.",90,180,180,l,138
I find it very hard to be happy.,89,30,30,d,138
I am taller than average.,31,52,52,l,139
I am above the national weight for a healthy person of my age.,46,141,141,d,139
I like that I am intelligent.,6,16,16,l,140
"I am a woman who drives a big truck, even though I am very ""girly"".",45,33,33,u,140
I've been told I am extremely intelligent.,122,16,16,u,142
I like that I am smart and competant.,42,125,125,l,143
I am a more successful parent than my mother.,24,78,78,l,144
"Grew up poor, now I'm in the top 3% of Americans.  Class mobility is still alive, no matter what critics may say!",124,266,266,u,144
I like that I am a modest person.,100,130,130,l,145
I don't like that I am painfully shy.,0,8,8,d,145
I am biracial and have been lucky enough to see other parts of the world.,33,230,230,u,145
"I like my hair, it's long and lucious",23,29,29,l,146
i have a really really long tongue,29,88,88,u,146
I like my personality is great.,2,4,4,l,147
I don't like how easily I lose my temper when people present ignorant arguments.,85,228,228,d,149
I am unique because I have a strange combination of interests and hobbies; I enjoy working with electronics but love the outdoors as well.,0,0,0,u,149
I like my positive energy.,12,12,12,l,150
"I am a uniquely creative, smart, and physically capable person.",3,2,2,u,150
"I like my personality, I am funny and I don't take things personally.",7,13,13,l,151
I am funny looking and very creative.,16,13,13,u,151
I like that I am eager for success.,36,112,112,l,152
I do mTurk as primary income.,68,193,193,d,152
"honest, creative, good-looking, trustworthy, reliable",0,2,2,l,153
"lazy, critical, negative, self-conscious, forgetful",2,18,18,d,153
"creative, resourceful, approachable, funny, multitalented",3,2,2,u,153
My social anxiety and difficulty making new friends.,3,24,24,d,154
"Well, I suppose the shape of my nose is pretty unique.",0,0,0,u,154
"smart, asian, handsome, thinker, cool",33,32,32,l,155
"young, short, crazy, love, small",34,109,109,d,155
"asian, smart, cool, thinking, amazing",18,32,32,u,155
I am currently morbidly obese.,83,219,219,d,156
I gave my high school yearbook its name.,119,263,263,u,156
"I like my long, slim yet toned legs.",23,29,29,l,157
I am unique because I approach everything as if it were a logic puzzle that needed solving.,0,0,0,u,157
I like that I am able to read quite quickly.,8,6,6,l,158
I don't like that I am unable to make tons of money simply by wishing for it.,19,53,53,d,158
I like that I'm athletic.,17,25,25,l,159
I don't like that I'm not as driven in life as I used to be.,101,273,273,d,159
I am able to teach tennis.,4,6,6,u,159
The way I dress is nice.,123,9,9,u,160
I like the fact that I'm very nice.,4,9,9,l,161
I'm pretty good at creating interactive web pages.,1,1,1,u,161
I like the fact that I'm intelligent.,6,16,16,l,162
I don't like that I'm sometimes too intense.,60,173,173,d,162
i like my eyes cuz they are green,30,50,50,l,163
I like that I'm a hard worker.,3,3,3,l,164
I don't like how much hair I have.,18,63,63,d,164
I like how I often try to find quantitative problems and finding interesting solutions for them.,107,231,231,l,165
"I don't like how internalized most of my thinking is (less group think, more individual & isolated methods).",102,17,17,d,165
"I'm a very hard worker, and honest person.",3,3,3,l,167
I am creative and a problem solver.,0,2,2,l,168
I worry about too much.,23,41,41,d,168
I am a very creative person.,0,2,2,l,169
I know how to speak Russian.,101,214,214,u,169
I really like my organizational skills and how I can lead a group to stay on task.,91,250,250,l,170
I don't like that I am not musically inclined. I can't read music and can't appreciate it.,80,26,26,d,170
I love to volunteer and give my time to help others. I even donate blood and have donated my hair for a wig.,72,159,159,u,170
I like that I am enthusiastic about the day ahead and want to get many things completed.,104,122,122,l,171
I always look for the positive in situations while others are complaining about an occurrence.,8,12,12,u,171
i spent a long time living overseas,98,29,29,u,172
i am a great mother,2,4,4,l,173
"i deal with a lot of pain and stress, but manage to stay positive",8,12,12,u,173
I like that I am patient.,56,162,162,l,174
"I am not your average girly girl, but im not a tom boy.",131,91,91,u,174
I really don't like my inability to be humble.,106,243,243,d,175
I am not only extreme lazy but also extraordinarily motivated.,73,10,10,u,175
I am a born again Christian.,95,258,258,l,176
I was the master of ceremonies for the last Christmas program at my elementary school before it closed.,80,68,68,u,176
How optimistic I am,25,82,82,l,178
"I dont like my facial looks. I know I""m not ugly, but I have a big nose.",39,58,58,d,179
I'm unique because I am good at multitasking.,0,0,0,u,179
I feel good about my health.,1,1,1,l,180
I like that I am meticulous about everything I do. I seek perfection.,65,187,187,l,182
Sometimes I am too timid infront of people.,28,87,87,d,182
I have a really good analytical skill and I can see patterns easily.,1,1,1,u,182
I like that I am intelligent.,6,16,16,l,184
i am unique because i have a secret,0,0,0,u,186
My two front teeth are not my real teeth.,49,59,59,u,187
I like the fact that I am always interested in learning new things.,27,55,55,l,188
I am very good at almost everything I do and I like to perfect everything.,1,1,1,u,188
My face is not as attractive compared to others.,5,22,22,d,189
"My perseverance, critical thinking skills, and passion for something I like makes me stand out.",70,18,18,u,189
I have a very inventive and creative mind,47,197,197,l,190
I like that I am nice and accepting of people.,4,9,9,l,191
I am unique because I am the only girl I know that hunts.,0,0,0,u,191
"I like that when I go to work, people seem to have a better day.",13,21,21,l,192
I don't like how I interrupt other peoples conversations without them asking me to.,97,5,5,d,192
"I am a very quick debater and love to argue, just to make sure people stand behind what they say.",77,35,35,u,192
I am unique because of the way I look.,0,0,0,u,193
"I'm alone, it's a hard thing to deal with",4,3,3,d,194
I like that I am quite intelligent,6,16,16,l,195
I don't like how shy and reserved I am,0,8,8,d,195
I am unique because I care little about what others think of me,0,0,0,u,195
I like that I'm funny.,7,13,13,l,196
I can make people happy.,77,30,30,l,197
I can read very fast.,90,70,70,u,197
I can help people through difficult times,39,62,62,l,198
I have horrible self confidence issues,53,157,157,d,198
My hair is pretty unique,0,0,0,u,198
I can make a large crowd of people laugh.,44,34,34,l,199
I don't think I'm very attractive or photogenic.,5,22,22,d,199
I take the esoteric approach to life.,103,270,270,u,199
I am a very hard worker.,3,3,3,l,200
I don't exercise as much as I should.,23,41,41,d,200
I like the fact that I'm a genuinely good person.,1,1,1,l,201
I don't like the fact that I hate speaking in public.,55,160,160,d,201
I listen to Catholic-oriented CDs in my car.,37,108,108,u,201
I like how honest and comical I am.,11,19,19,l,202
I don't like how shy and quiet I am at times.,0,8,8,d,202
I think for myself and have my own set of beliefs.,25,20,20,u,202
I am able to make my daughter smile even when she's upset.,4,6,6,u,203
I like that I'm outspoken and not afraid to say what I think.,94,152,152,l,204
I don't like that I have an anxiety disorder and that I'm paranoid.,33,124,124,d,204
"I never get embarrassed and although many have tried, they have all failed.",7,11,11,u,204
I care about people a great deal.,2,4,4,l,205
I constantly struggle in maintaining a healthy weight.,59,171,171,d,205
"I tend to like things that are ""unpopular"" or unique.",114,127,127,u,205
"I am a hard worker, and I am a great listener.",3,3,3,l,206
I love the taste of slightly burnt popcorn.,50,94,94,u,206
I do not like that I have very low impulse control.,24,76,76,d,207
I am the only one on this planet who has all of my individual experiences.,6,27,27,u,207
I am very smart in certain situations,88,245,245,l,208
I am very cautious around some people,61,225,225,d,208
I have good taste in TV,1,1,1,l,209
i dont like that i am fat and too big,16,57,57,d,210
i like to be a bible reader and with family,79,100,100,u,210
I absolute love potato salad,88,164,164,u,211
I have nicely shaped muscular shoulders.,89,248,248,l,212
I have way too much body hair.,18,63,63,d,212
I don't like my weak willpower.,57,166,166,d,213
i tend to get upset and mad alot,27,85,85,d,214
wiggle both my ear up and down and make clover with tongue,29,88,88,u,214
I observe most all situations and people around me.,9,17,17,u,215
Something that makes me unique is my ability to create simple instructions for complex tasks.,89,191,191,u,217
One thing that makes me unique is my openess to new ideas and people.,11,7,7,u,218
My sizable work ethic and willingness to sacrifice leisure hours.,79,223,223,l,219
My inability to relax properly or cool down after a long job.,75,29,29,d,219
"My masterful piano skills, which incorporate electronic and dance yet hearken back to classical and Baroque pieces.",74,165,165,u,219
I like my capacity to grow and learn from ever-shifting situations.,70,208,208,l,220
"That's hard to say, because I'm limited like everyone else, but I tend to adapt.",4,3,3,d,220
"The me-ness of me, something you can only know by knowing me.",85,185,185,u,220
im kind of stupid,41,281,281,d,221
i dont like that i am shy,0,8,8,d,222
i am athletic,17,25,25,l,223
i can be lazy,1,10,10,d,223
my dream is to swim the english channel,127,178,178,u,223
"I'm a pretty smart guy, overall.",38,56,56,l,224
I don't like that I'm passive.,74,206,206,d,225
I am a very tall Asian.,31,86,86,u,225
"I don't like my abs and core, they are thick and chubby.",73,201,201,d,226
I am a visual artist who sees the world as a piece of art.,105,116,116,u,226
"I""m very compassionate and have a great  deal of empathy for others.",43,129,129,l,227
I tend to procrastinate and always finish things at the last minute.,99,104,104,d,227
I'm very unique and don't copy others.,0,0,0,u,227
I have a hard time achieving goals at times,4,3,3,d,229
I think that i am generally much friendlier than others.,117,259,259,u,229
I am unique because I have quit everything I ever started.,0,0,0,u,230
I have the ability to see things from other people's perspective on a regular basis.,5,5,5,l,231
I am a 7th generation Texan with family dating back to the 1840s.,65,146,146,u,231
I'm not fond of my waistline.,37,190,190,d,232
I am talented and creative.,0,2,2,l,233
I am a little lazy and like to procrastinate.,1,10,10,d,233
I have a large family.,21,34,34,u,233
I wish I was a couple of inches taller.,29,52,52,d,235
I am a very positive person,12,12,12,l,236
I am usually always happy,28,30,30,u,236
I like that I am creative.,0,2,2,l,237
I don't like that I feel jealous of others at times.,12,48,48,d,237
I an uniquely funny and I say interesting things that catch people off-guard sometimes.,16,13,13,u,237
I like that I am good at a lot of things.,1,1,1,l,238
"I am unique because I am juggle, and not many people can do that.",0,0,0,u,238
I like that I'm trying to better myself.,13,21,21,l,239
I put the needs of others before my own needs too often.,21,20,20,d,240
I listen to types of music that most people don't listen to.,26,26,26,u,240
"I think I'm fairly creative, and can write critically.",0,2,2,l,241
I wish I was more forward and aggressive sometimes. I let a lot of things slide.,10,45,45,d,241
I like that I am attractive.,18,22,22,l,242
I think I am unique because I was in the Air Force.,0,0,0,u,242
I am intelligent and hard working.,6,16,16,l,243
I suffer from chronic pain.,70,195,195,d,243
I have two different colored eyes.,2,14,14,u,243
"I'm creative, friendly, nice, hard working, and I'm great in bed.",0,2,2,l,244
"I can be be non-confrontational or timid, especially at inopportune times.",54,97,97,d,244
"Too many things to name I suppose, but I'd say I'm unique because of my creativity.",7,11,11,u,244
I like that I am sociable because it helps me to adapt to situations.,59,174,174,l,245
I do not like that I have a bad habit of procrastinating which frequently makes me miss deadlines.,6,23,23,d,245
The fact that I am a 6'2'' female makes me unique because I am a foot taller than some of my friends,15,40,40,u,245
I am very good at painting nails.,1,1,1,u,246
"I like my ability to react quickly in stressful, demanding situations.",54,151,151,l,247
I don't like my ever-growing beer belly.,67,196,196,d,247
I waste too much time doing unimportant things.,38,123,123,d,248
i liked how i am nice.,4,9,9,l,249
i dont like how i can be mean.,7,36,36,d,249
i am very good with technology.,1,1,1,u,249
I like my strong moral character.,10,15,15,l,250
